Title,Year,Genre,Rating,Revenue (Millions),Budget (Millions),Director
Movie 32,2014,Thriller,8.437473225206812,479.1554659276667,0.0,Director 32
Movie 33,2012,Comedy,9.531369445933027,369.362391387214,51.24492448000319,Director 33
Movie 34,2016,Comedy,7.914335146312755,372.6203730901402,217.39610990480745,Director 34
Movie 35,2016,Thriller,8.066616293113984,360.6051465757655,174.86408862284446,Director 35
Movie 36,2016,Drama,4.817835413541795,320.62015501943216,284.2262406791989,Director 36
Movie 37,2010,Action,5.124873223759272,87.44198925333052,234.67571716543975,Director 37
Movie 38,2010,Action,5.5002873623832045,0.0,272.7654611476443,Director 38
Movie 39,2014,Action,5.174516366505436,20.10247659883697,279.99213820876736,Director 39
Movie 40,2016,Action,4.14566248095228,0.0,32.10258551901825,Director 40
Movie 41,Unknown,Drama,4.903776535020042,0.0,284.65801696585856,Director 41
Movie 42,2020,Thriller,7.794586656870965,0.0,34.82247775695018,Director 42
Movie 43,2016,Thriller,9.657400804193756,356.8998761647517,168.62359814968875,Director 43
Movie 44,2016,Comedy,9.560455288900664,401.8282454494071,274.3895722754039,Director 44
Movie 45,2014,Drama,6.976870479310277,0.0,0.0,Director 45
Movie 46,2018,Thriller,6.889043977807978,57.83287794407472,0.0,Director 46
Movie 47,2012,Comedy,9.08548295536417,494.2705693318426,10.148780891805927,Director 47
Movie 48,2014,Thriller,8.313631798695575,0.0,0.0,Director 48
Movie 49,2012,Action,7.622606209600767,353.2522236031222,114.62348166555172,Director 49
Movie 50,2010,Drama,2.1904399707889457,109.52010570973972,86.81830744175704,Director 50
Movie 51,2010,Comedy,0.0,90.60490537746207,159.66804438938254,Director 51
Movie 52,2016,Comedy,1.918903044367426,321.5890295302643,273.98684733433447,Director 52
Movie 53,2016,Thriller,2.9250990506118097,73.77174043729404,214.4361514928597,Director 53
Movie 54,2010,Comedy,3.791140061713933,224.4139517675901,223.668851689063,Director 54
Movie 55,2012,Action,7.870215365743129,240.7456636826656,63.41044270819495,Director 55
Movie 56,2016,Drama,9.586756430974836,324.67314395505497,0.0,Director 56
Movie 57,2020,Comedy,1.9816466246634148,61.54525314302181,117.77849411091802,Director 57
Movie 58,2010,Drama,8.387661484792948,0.0,55.26735293830788,Director 58
Movie 59,2018,Thriller,4.903968959508307,42.51009367072575,0.0,Director 59
Movie 60,2010,Thriller,9.808748465726335,372.0979609369157,0.0,Director 60
Movie 61,2012,Drama,1.5090222174096553,377.3294767477617,12.076229287471335,Director 61
Movie 62,2010,Action,4.785149890269724,146.93455516690457,47.543088460178325,Director 62
Movie 63,2014,Comedy,4.758193804677957,311.0804891367552,53.07551517347443,Director 63
Movie 64,2010,Comedy,6.653871250295311,228.11895825937304,32.331593075731746,Director 64
Movie 65,2016,Comedy,6.226797619743563,230.0192790728682,48.35860468492453,Director 65
Movie 66,2014,Comedy,1.251101799547926,123.85676600419038,290.8839417522317,Director 66
Movie 67,2012,Thriller,7.197656318993791,0.0,0.0,Director 67
Movie 68,2018,Thriller,2.6818259975511864,237.4497238105007,201.87271319240008,Director 68
Movie 69,2016,Comedy,9.645380874458564,406.8915902428441,118.34160859278074,Director 69
Movie 70,2020,Drama,4.368725729385715,179.1511654982286,242.11690910690027,Director 70
Movie 71,2012,Action,6.2574247440390405,385.5974202608233,227.5620313178071,Director 71
Movie 72,2016,Comedy,3.123684171355512,274.02358149491016,179.79630486537013,Director 72
Movie 73,2020,Comedy,9.384008001237127,8.855273989410144,264.5305148093553,Director 73
Movie 74,2012,Thriller,3.77236345852096,216.94157026601323,188.4399026581039,Director 74
Movie 75,2012,Thriller,4.989901013856239,451.7325598097693,0.0,Director 75
Movie 76,2010,Action,7.4693080149743425,458.09144930701456,231.7371752647748,Director 76
Movie 77,2010,Thriller,9.880804902861644,0.8575468622507358,17.511786992468984,Director 77
Movie 78,2010,Drama,3.188772411892642,0.0,92.31451522726402,Director 78
Movie 79,2018,Thriller,3.0643658055364584,351.6978938367666,157.85433445085386,Director 79
Movie 80,2020,Drama,9.256345906042114,408.8456792933852,2.3955878846727785,Director 80
Movie 81,2010,Comedy,8.204962950261201,328.80958729732527,0.0,Director 81
Movie 82,2014,Action,3.242287323858456,0.0,176.90796069698297,Director 82
Movie 83,2014,Action,9.273632301688629,349.00010247495976,92.59537929058652,Director 83
Movie 84,2014,Thriller,3.7705773192356906,202.6720103397532,94.55667271707742,Director 84
Movie 85,2012,Drama,6.219276483537335,371.3408164166296,124.25433982087264,Director 85
Movie 86,2020,Comedy,3.62347028697484,231.28054401227277,269.6838015817613,Director 86
Movie 87,2018,Thriller,7.566330885694429,382.9413843124357,0.7361808441318658,Director 87
Movie 88,2010,Drama,5.2248526863488784,7.228837437779248,0.0,Director 88
Movie 89,2010,Action,5.567432961014383,114.2670987192893,113.05222457317596,Director 89
Movie 90,2018,Comedy,3.2560425162116404,222.34131313940725,255.080410573272,Director 90
Movie 91,2014,Thriller,1.19703982552438,398.19421522289485,0.0,Director 91
Movie 92,2010,Drama,8.764272843559887,436.2756358326095,156.02235749541194,Director 92
Movie 93,2016,Thriller,9.862749017960608,359.47938061622415,66.51580857393577,Director 93
Movie 94,2010,Action,7.880676176903691,55.66037749385103,129.1513901722761,Director 94
Movie 95,2010,Drama,5.459576057217175,69.84197057275408,42.34869627478707,Director 95
Movie 96,2010,Thriller,5.432660261861426,87.10885201370627,234.6887824506749,Director 96
Movie 97,2016,Drama,7.892100736350818,467.4674616838255,0.0,Director 97
Movie 98,2014,Comedy,5.582441147665735,336.46647999362176,0.0,Director 98
Movie 99,2016,Thriller,7.224840657178738,109.58571572745213,255.98533521141968,Director 99
Movie 100,2010,Thriller,2.918354540233433,240.179601719038,210.87335058056607,Director 100
Movie 101,2020,Thriller,5.303897531783632,347.510871747718,244.1711984905619,Director 101
Movie 102,2016,Action,1.844863526033432,415.2619512809684,266.4089090346828,Director 102
Movie 103,2018,Action,3.206528229147863,258.753003223496,0.0,Director 103
Movie 104,2012,Action,1.9632011094628727,497.155637235819,236.61346576504224,Director 104
Movie 105,2014,Drama,4.193450135654048,147.22233667451198,258.74275614491205,Director 105
Movie 106,2010,Thriller,1.1637730917518412,0.0,44.088471370298834,Director 106
Movie 107,2014,Comedy,3.669562366895087,153.99127921381373,213.12305776369328,Director 107
Movie 108,2020,Drama,3.147557601036949,191.73901383869165,0.0,Director 108
Movie 109,2018,Comedy,6.860251308921639,437.7871696161568,0.0,Director 109
Movie 110,2010,Comedy,3.5643362520373247,137.69851064759484,268.2548204957481,Director 110
Movie 111,2016,Comedy,6.456074541453194,117.4352030509388,227.40838486382077,Director 111
Movie 112,2014,Thriller,8.206455280418517,36.17274230680442,0.0,Director 112
Movie 113,2018,Drama,7.978893481209263,285.6225189745615,115.18342085136696,Director 113
Movie 114,2014,Drama,4.527293979332809,361.8900019402191,148.86832170408874,Director 114
Movie 115,2014,Comedy,9.561119773435207,0.0,174.17927948444589,Director 115
Movie 116,2012,Thriller,1.4936574167319492,0.0,239.6833388946473,Director 116
Movie 117,2010,Drama,5.186301049700198,76.52817925716946,179.97631953587063,Director 117
Movie 118,2016,Thriller,2.703191270254512,426.2255401286183,146.7578553622118,Director 118
Movie 119,2018,Thriller,5.619701068495607,336.13440563286764,267.0081178325635,Director 119
Movie 120,2016,Thriller,1.0401760401835607,140.8642950859568,120.46458789086242,Director 120
Movie 121,2010,Action,2.106389242314171,141.6819215502672,129.78376712190217,Director 121
Movie 122,2010,Comedy,7.939240424144593,238.86051966214296,0.0,Director 122
Movie 123,2010,Thriller,8.72160420298876,407.1068079176637,243.5086296276733,Director 123
Movie 124,2018,Action,7.356850132908632,258.813129347162,129.8612551981056,Director 124
Movie 125,2020,Drama,7.907618767014485,437.0217354310477,101.3013926781638,Director 125
Movie 126,2016,Action,1.9537779907154855,137.68800649285578,50.18335363347637,Director 126
Movie 127,2016,Action,6.112764834661343,246.44631267208476,260.662649154904,Director 127
Movie 128,2014,Comedy,9.291330269206302,155.7563683664458,70.8024476988245,Director 128
Movie 129,2020,Drama,2.2155012263936182,170.70289225001667,272.81226218654353,Director 129
Movie 130,2012,Action,9.741579431254715,0.0,115.17235518108156,Director 130
Movie 131,2012,Action,3.525744816347022,95.56053554926945,244.3285912891098,Director 131
Movie 132,2018,Comedy,1.5098209880430171,239.7743822989605,0.0,Director 132
Movie 133,2010,Comedy,6.456373428193428,341.3929984491037,190.6171135320544,Director 133
Movie 134,2020,Drama,6.8869723797603095,473.0519962764533,47.31270189780062,Director 134
Movie 135,2010,Comedy,9.33865028784692,394.2373376909149,128.13226090332398,Director 135
Movie 136,2018,Action,5.072371346898554,0.0,34.785848754184656,Director 136
Movie 137,2018,Thriller,9.554874525331012,439.3969062257172,282.80450579665023,Director 137
Movie 138,2012,Drama,8.322953736926983,172.9613355878912,0.0,Director 138
Movie 139,2020,Comedy,5.323882661073534,24.415525072984124,0.0,Director 139
Movie 140,2016,Comedy,4.843021918973381,427.4069360965512,291.47955370063295,Director 140
Movie 141,2020,Thriller,4.304152531657637,249.16670682543383,284.7001852868232,Director 141
Movie 142,2018,Comedy,7.918622209532403,190.2372755729141,0.0,Director 142
Movie 143,2012,Action,1.862368517179024,182.70721183019,164.4643287905938,Director 143
Movie 144,2014,Thriller,1.796026468910759,165.18573931802206,0.0,Director 144
Movie 145,2014,Drama,4.771513608857376,442.1310415147307,200.89840593613903,Director 145
Movie 146,2020,Thriller,6.317969925316397,0.0,57.57130321660054,Director 146
Movie 147,2020,Action,6.858911253600665,155.73238049769012,79.54914622893924,Director 147
Movie 148,2018,Action,1.6940083104108297,339.5102790615433,56.21120935157245,Director 148
Movie 149,2012,Comedy,2.4165297385987827,84.96326130260425,19.946114561733367,Director 149
Movie 150,2016,Comedy,7.237271408905402,465.818976738308,0.0,Director 150
Movie 151,2014,Drama,6.558736385733056,246.83996905098985,50.4852660490954,Director 151
Movie 152,2016,Comedy,1.1187630670879585,264.1658291381242,261.08583773035934,Director 152
Movie 153,2014,Action,4.463536106076141,16.35041391305235,21.22149240608175,Director 153
Movie 154,2010,Thriller,8.651382322135493,384.1984632830653,0.0,Director 154
Movie 155,2010,Thriller,5.873608743563893,328.50705909459134,278.8971260749214,Director 155
Movie 156,2010,Thriller,4.836478303617792,159.85931106319103,290.42350037090785,Director 156
Movie 157,2016,Comedy,1.871433343104476,201.0209149956117,134.12583625718156,Director 157
Movie 158,2010,Comedy,4.116773897112337,10.603785561263544,132.80046962041575,Director 158
Movie 159,2018,Drama,5.138324754330815,193.62743951277093,0.0,Director 159
Movie 160,2010,Comedy,8.563810491285505,280.2332965072042,0.0,Director 160
Movie 161,2016,Thriller,5.972699409527187,62.3921773065623,50.01016507957425,Director 161
Movie 162,2012,Comedy,5.141108637366483,180.2923093610021,126.34193776408752,Director 162
Movie 163,2014,Thriller,4.275533320888819,337.6524481808568,119.21365537067362,Director 163
Movie 164,2012,Drama,2.618835526823941,72.3875623688509,0.0,Director 164
Movie 165,2018,Comedy,6.661763378341247,0.0,149.9143851332794,Director 165
Movie 166,2012,Action,1.8515776055913329,0.0,19.19714161790114,Director 166
Movie 167,2014,Action,7.9181179640015,140.75269714644622,248.05393933004405,Director 167
Movie 168,2018,Action,1.3609939253326866,171.24754382072763,50.80111631601741,Director 168
Movie 169,2014,Comedy,5.691788899855999,214.0128497636993,0.0,Director 169
Movie 170,2016,Thriller,8.496124875245716,366.2778804341,25.38538325741864,Director 170
Movie 171,2016,Action,6.783565501595297,353.3476819070321,204.28582414546008,Director 171
Movie 172,2020,Action,8.484548354303264,197.91178398409716,0.0,Director 172
Movie 173,2020,Thriller,5.175644364979125,228.85264409266176,259.7896723464161,Director 173
Movie 174,2014,Drama,1.978396617924348,273.34789668087194,80.94747687178702,Director 174
Movie 175,2014,Action,1.0724311099057462,17.931837334070266,176.67433914228906,Director 175
Movie 176,2020,Action,1.2892604944083128,0.0,252.879417484308,Director 176
Movie 177,2016,Drama,9.313587139255429,180.0315230975617,72.37613697323343,Director 177
Movie 178,2020,Drama,6.657559302302464,356.5515411002862,144.81200862812048,Director 178
Movie 179,2012,Thriller,2.008811012677997,452.7844667622441,286.2260236794807,Director 179
Movie 180,2018,Comedy,7.967433229413691,308.4151825947574,283.1454756505992,Director 180
Movie 181,2020,Thriller,3.1057094170140926,68.2669042808099,71.34886017647199,Director 181
Movie 182,2020,Comedy,4.4220255876247325,16.200717471025513,142.92970136764657,Director 182
Movie 183,2012,Comedy,7.772789528291983,446.2285443855201,126.50343072742328,Director 183
Movie 184,2018,Action,7.152825736073136,195.86042317666963,0.0,Director 184
Movie 185,2010,Drama,3.2486544151390864,293.748062780678,245.6636369108957,Director 185
Movie 186,2018,Drama,7.905509086493328,101.50970939281254,134.26830011486635,Director 186
Movie 187,2020,Action,2.3867164467241517,45.03381980359835,100.08384423824891,Director 187
Movie 188,2010,Drama,5.970586733935495,489.1942421407401,0.0,Director 188
Movie 189,2010,Comedy,6.535992910744668,269.85826199294587,86.37222643264545,Director 189
Movie 190,2018,Comedy,1.398629406780572,102.51982969953971,0.0,Director 190
Movie 191,2018,Thriller,5.754570294937249,75.91153138902949,0.0,Director 191
Movie 192,2016,Action,9.663959501374151,0.0,4.772858485977196,Director 192
Movie 193,2012,Thriller,5.987616858142578,286.22116336464524,217.74819049499783,Director 193
Movie 194,2020,Drama,6.28178380600164,119.27383363046609,0.0,Director 194
Movie 195,2012,Drama,2.8022047897827678,255.75127562303,206.9392625890348,Director 195
Movie 196,2020,Drama,8.223837005719254,278.7944669203274,0.0,Director 196
Movie 197,2018,Comedy,3.6263457882486776,188.92135982943677,0.0,Director 197
Movie 198,2014,Thriller,3.186648068749471,181.727947105588,210.06179442777943,Director 198
Movie 199,2014,Action,9.746138483792588,0.0,65.39867475946971,Director 199
Movie 200,2014,Comedy,5.911965738198632,459.8571410996177,14.525229366632516,Director 200
Movie 201,2010,Thriller,8.378689493164721,143.17270672383822,0.0,Director 201
Movie 202,2012,Action,9.164845767718818,475.8588663512865,194.3864858484376,Director 202
Movie 203,2018,Comedy,7.273566691647563,78.16174907681588,84.04110700070521,Director 203
Movie 204,2014,Drama,1.6945799208715782,205.38149659758545,200.62812646568904,Director 204
Movie 205,2016,Drama,3.8267101741734977,448.69186605717385,105.96430708890044,Director 205
Movie 206,2012,Thriller,7.4048804356402655,483.9390437027106,52.21417074827096,Director 206
Movie 207,2016,Comedy,4.377587708799606,219.64594441381385,0.0,Director 207
Movie 208,2016,Drama,3.240736593755331,0.0,8.399372427250597,Director 208
Movie 209,2010,Thriller,8.888561723325214,433.9750647380607,0.0,Director 209
Movie 210,2016,Thriller,7.59126805792908,177.03537142221276,0.1962596695788647,Director 210
Movie 211,2018,Action,5.667909083069619,66.32202089409043,160.0832691011246,Director 211
Movie 212,2014,Drama,1.6084326584566209,265.783525430601,190.15660344123532,Director 212
Movie 213,2020,Action,5.427309370095832,113.302441468175,84.47618766131998,Director 213
Movie 214,2020,Thriller,9.380419966845768,134.40840140342877,293.0228768479216,Director 214
Movie 215,2020,Action,4.968950461802536,472.2069047626079,0.0,Director 215
Movie 216,2010,Comedy,1.0304559309975707,330.3682304914474,47.78060621192074,Director 216
Movie 217,2016,Thriller,5.173040086767845,494.3342258427217,225.31342534405167,Director 217
Movie 218,2014,Drama,7.331366953906187,157.50842238464193,36.59280806015329,Director 218
Movie 219,2018,Thriller,1.1539913773056942,0.0,25.915387314836025,Director 219
Movie 220,2010,Action,2.424771338498217,137.8112721930725,232.21473971700465,Director 220
Movie 221,2010,Comedy,7.517419713197179,102.29954851480494,93.61946715534,Director 221
Movie 222,2020,Drama,9.058479987615158,107.05200701352354,88.10688291654918,Director 222
Movie 223,2014,Action,1.5625905637297537,427.2443276852173,48.388875771048845,Director 223
Movie 224,2020,Action,9.739925341335857,0.0,51.08020333573481,Director 224
Movie 225,2016,Action,5.128888083112944,253.43810312097256,73.60335782080455,Director 225
Movie 226,2020,Thriller,1.0720369784023114,473.5776556255584,0.0,Director 226
Movie 227,2012,Thriller,3.012292031119782,325.80302321436585,273.25374282307166,Director 227
Movie 228,2018,Comedy,7.428032282349248,432.7273767104738,51.71766459540726,Director 228
Movie 229,2016,Action,3.5838615705981254,260.1669214247211,0.0,Director 229
Movie 230,2012,Comedy,9.804713484561812,409.0237169675706,0.0,Director 230
Movie 231,2010,Comedy,7.537731725370736,358.7174125017052,0.0,Director 231
Movie 232,2014,Drama,7.878724020402815,439.8552739514617,0.0,Director 232
Movie 233,2018,Action,5.131503961549432,72.54525174595058,263.7393780935004,Director 233
Movie 234,2018,Action,7.637037155603388,261.9232405948561,46.60128215933105,Director 234
Movie 235,2016,Comedy,3.0037245900863123,159.4832039984512,235.4759235583168,Director 235
Movie 236,2010,Action,5.515224411602972,497.17315358544,250.4616305498236,Director 236
Movie 237,2010,Drama,5.943521967222407,290.98271360751,0.0,Director 237
Movie 238,2016,Comedy,1.372214598738895,310.2142251610382,268.89790842984064,Director 238
Movie 239,2012,Comedy,3.174657013162164,0.0,291.47108910579635,Director 239
Movie 240,2016,Thriller,7.453232308795605,142.6955641224248,224.38615260369863,Director 240
Movie 241,2012,Action,6.221903703675241,412.88586670329767,49.350937887388056,Director 241
Movie 242,2012,Comedy,2.563977987455365,65.84291255843125,102.85564502200594,Director 242
Movie 243,2020,Action,9.817586853011996,144.9298310197395,221.2698471268212,Director 243
Movie 244,2018,Thriller,3.4576025242823745,266.9224689458827,268.521168436606,Director 244
Movie 245,2010,Comedy,5.631284965685264,193.8169267085532,0.0,Director 245
Movie 246,2014,Comedy,4.02575681988432,41.49155047459614,242.7341247693768,Director 246
Movie 247,2010,Comedy,2.630989058785834,64.17016555902387,125.02163900884572,Director 247
Movie 248,2020,Comedy,5.020004876548761,454.9669859305802,0.0,Director 248
Movie 249,2016,Thriller,2.2287138692343937,129.1303545672335,151.93846352932195,Director 249
Movie 250,2020,Drama,1.55786926678963,486.46689649143696,247.62815045615,Director 250
Movie 251,2020,Action,9.471254425081924,454.6834730903977,6.892700647214141,Director 251
Movie 252,2020,Drama,3.657871240583399,360.6234680694873,45.22163204552308,Director 252
Movie 253,2014,Action,8.34511931463554,401.0273259527754,269.67885567432285,Director 253
Movie 254,2020,Drama,2.3930603209929497,106.5420485773254,126.76392701957472,Director 254
Movie 255,2014,Drama,8.847249656163008,267.9479881612723,296.90149051972804,Director 255
Movie 256,2020,Action,1.9854838085707849,481.1011406751769,0.0,Director 256
Movie 257,2020,Comedy,4.44097803022751,429.468569975628,0.0,Director 257
Movie 258,2016,Thriller,8.781103962286153,206.82261184514493,53.68737815135029,Director 258
Movie 259,2016,Comedy,1.1588842278366474,360.69781592819777,0.0,Director 259
Movie 260,2016,Action,3.3424185286858563,368.0068444729601,186.12090934171025,Director 260
Movie 261,2018,Comedy,2.44422795428102,119.91278266435526,0.0,Director 261
Movie 262,2020,Comedy,2.2466716585582995,488.2530184017184,264.88534005372605,Director 262
Movie 263,2016,Action,5.77634772028389,135.7964375244793,111.12136567081173,Director 263
Movie 264,2020,Comedy,4.610627743116031,189.27002813080568,196.34503673925724,Director 264
Movie 265,2020,Thriller,1.399897233931077,280.00130583250086,21.045769859234294,Director 265
Movie 266,2020,Drama,4.316021503174496,287.31962683959625,107.21571693097876,Director 266
Movie 267,2010,Thriller,3.981839538570833,300.9016569134752,266.27782656932754,Director 267
Movie 268,2020,Drama,1.4767620625316624,366.6579217962985,266.9633872951581,Director 268
Movie 269,2010,Action,6.899112923110404,358.9338067309558,248.47952996879096,Director 269
Movie 270,2012,Drama,4.212706183778435,310.18427111125925,0.0,Director 270
Movie 271,2010,Comedy,2.072797210168081,158.89900690150782,0.0,Director 271
Movie 272,2016,Drama,4.412530166753887,136.9888584060563,180.12145990136383,Director 272
Movie 273,2014,Action,1.0160233553601197,214.41525885634627,175.77088271802222,Director 273
Movie 274,2016,Action,7.66788751430901,418.48909438645205,261.7753143499933,Director 274
Movie 275,2012,Drama,7.131095626730183,367.6463788800794,0.0,Director 275
Movie 276,2020,Drama,6.161812793329066,445.6946971097594,240.9964885274873,Director 276
Movie 277,2016,Thriller,4.418701120798625,204.3194253870592,69.11887396930902,Director 277
Movie 278,2010,Comedy,6.420742139723934,407.5911132148089,186.32872487066948,Director 278
Movie 279,2016,Comedy,9.70233589594948,30.441746075318548,255.1709854964745,Director 279
Movie 280,2012,Thriller,3.920818143880602,96.14160826638268,66.44356739626738,Director 280
Movie 281,2010,Thriller,9.121690916367234,192.5697924070432,244.97264414728303,Director 281
Movie 282,2014,Drama,5.345585244606304,122.96715943805634,0.0,Director 282
Movie 283,2014,Drama,8.798599187492918,151.8126627842367,7.332359534815907,Director 283
Movie 284,2016,Comedy,6.690272907201347,490.6606184817352,58.17060025348289,Director 284
Movie 285,2016,Action,8.370722159360042,0.0,169.7594520267756,Director 285
Movie 286,2010,Thriller,1.0336891374762094,212.8095203339131,69.03260142934457,Director 286
Movie 287,2014,Drama,4.041261463282112,297.6097788998532,130.0089351721212,Director 287
Movie 288,2010,Action,7.858131559013256,369.7717833052344,230.17376403504045,Director 288
Movie 289,2020,Thriller,3.11343161817462,423.11782483223374,175.1386198418516,Director 289
Movie 290,2016,Drama,2.137247997959292,401.8639720941961,125.98805153029696,Director 290
Movie 291,2018,Comedy,4.712946126540195,124.98659635013712,208.1897372258669,Director 291
Movie 292,2014,Action,3.186318626393784,293.184323523581,0.0,Director 292
Movie 293,2014,Thriller,1.029230357640432,65.15387621975623,0.0,Director 293
Movie 294,2012,Drama,7.628431023794435,476.36556707927286,42.41736599125571,Director 294
Movie 295,2014,Action,2.794791163204626,474.8359091595185,169.3422010393149,Director 295
Movie 296,2010,Comedy,3.294664301058526,215.34993989968632,234.791963196812,Director 296
Movie 297,2012,Action,1.8548678306851163,24.303174392835828,0.0,Director 297
Movie 298,2012,Action,1.097999568784815,225.54438482258703,176.46499581829568,Director 298
Movie 299,2014,Thriller,7.259091713531317,73.63030251929898,85.2129529368371,Director 299
Movie 300,2016,Comedy,4.346485590691312,484.8756027855934,0.0,Director 300
Movie 301,2010,Action,7.970232448265668,0.0,288.9223590165931,Director 301
Movie 302,2012,Thriller,5.689314082216017,430.5645862495074,0.0,Director 302
Movie 303,2020,Comedy,2.1194638421755942,164.0704088919976,0.0,Director 303
Movie 304,2014,Comedy,1.3506165209132392,438.91212499318095,37.79541535990552,Director 304
Movie 305,2018,Thriller,4.369887813949653,320.3322236585955,38.56541425319296,Director 305
Movie 306,2020,Comedy,5.836174654979899,272.49508061106576,198.93238744080745,Director 306
Movie 307,2018,Comedy,1.7290613531005956,256.8042605371457,104.42834649415812,Director 307
Movie 308,2020,Comedy,3.925708365514932,54.76624669809348,0.0,Director 308
Movie 309,2016,Comedy,6.183146831979685,12.354278908132606,0.0,Director 309
Movie 310,2020,Comedy,3.860117016345764,456.1829793314993,60.271430303458686,Director 310
Movie 311,2014,Thriller,6.183540948342452,179.7699872064937,1.5660982109857855,Director 311
Movie 312,2012,Comedy,8.388388847433966,436.4260734202608,0.0,Director 312
Movie 313,2010,Action,5.848651000090127,165.75237993783924,258.25535049114245,Director 313
Movie 314,2020,Thriller,8.299364113214464,83.20829334701224,193.9904782512582,Director 314
Movie 315,2020,Action,2.621323580826931,218.67755338019435,0.0,Director 315
Movie 316,2014,Thriller,6.90630874287492,300.23538756911864,154.52127325196366,Director 316
Movie 317,2014,Thriller,9.835329794218223,202.04296944129496,133.74266807755194,Director 317
Movie 318,2010,Comedy,7.726554787870487,456.9784635660565,82.26042031822712,Director 318
Movie 319,2018,Thriller,2.225054846834108,318.877258206495,0.0,Director 319
Movie 320,2012,Action,3.396039219304786,379.1055932107218,98.04383670198368,Director 320
Movie 321,2016,Thriller,9.07497818437368,44.80857531491861,0.0,Director 321
Movie 322,2020,Drama,1.5150943538079624,232.5204603558438,259.9357749644458,Director 322
Movie 323,2014,Drama,3.00688025501729,0.0,21.0179459828137,Director 323
Movie 324,2010,Comedy,3.6774596987939785,494.88358960779794,103.27054350459775,Director 324
Movie 325,2018,Action,5.435201394799502,457.3763143382741,292.3632089824484,Director 325
Movie 326,2014,Thriller,1.508892804233625,119.40445249417044,27.664268267707243,Director 326
Movie 327,2010,Drama,8.564243635797956,15.725463391678815,226.8094934730697,Director 327
Movie 328,2012,Action,2.110324050495156,266.6710556542334,253.4754324446484,Director 328
Movie 329,2020,Thriller,4.002458569309484,452.02064069467593,253.41470032096584,Director 329
Movie 330,2020,Comedy,9.392034009004409,476.923596620682,185.4995908675088,Director 330
Movie 331,2014,Thriller,3.628924874644886,0.0,282.0237932212012,Director 331
Movie 332,2012,Drama,5.961205493534704,0.0,99.5902116149894,Director 332
Movie 333,2020,Comedy,4.011337139207995,179.8563893449602,89.94725509474293,Director 333
Movie 334,2020,Drama,3.553141093650274,406.3190096453782,261.0415060265519,Director 334
Movie 335,2014,Comedy,1.851644415815451,87.39480497181694,0.0,Director 335
Movie 336,2020,Thriller,5.386812598622425,283.3923110727596,0.0,Director 336
Movie 337,2016,Action,6.968448993156477,282.6559401312425,66.38305320606528,Director 337
Movie 338,2014,Action,5.056686235997102,282.79900923841984,180.3724878536896,Director 338
Movie 339,2014,Action,1.4734958043093176,427.68763356428383,0.0,Director 339
Movie 340,2014,Comedy,9.82438145248268,39.11491337705317,219.320672743708,Director 340
